               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086477,            0.030981,            0.051176,             0.29308,             0.18346,              0.1378,            0.051274,            0.080677,            0.032711,            0.049951,            0.070184,           0.0033129,           0.0033129
                   1,            0.060621,            0.022169,            0.039889,             0.37271,             0.20672,             0.19076,            0.078307,            0.072723,            0.035027,            0.050428,            0.040052,           0.0065146,           0.0065146
                   2,            0.057145,            0.020009,            0.027955,             0.18422,             0.20586,             0.11195,            0.042005,            0.080041,            0.035263,            0.051669,           0.0097889,           0.0095844,           0.0095844
                   3,            0.051495,            0.018317,            0.015409,             0.19187,             0.13437,            0.088835,            0.039742,            0.081013,            0.043567,            0.056832,            0.009406,            0.009406,            0.009406
                   4,            0.045254,            0.017321,            0.010584,             0.29157,             0.09733,            0.090631,             0.04026,            0.080785,            0.044065,            0.072822,            0.009406,            0.009406,            0.009406
                   5,            0.042389,            0.016791,           0.0087554,             0.26009,             0.10594,            0.085149,            0.039902,            0.085752,            0.045934,            0.064149,            0.009208,            0.009208,            0.009208
                   6,            0.039562,            0.015911,           0.0071038,             0.24824,            0.096469,            0.088788,            0.038235,            0.082094,            0.053371,            0.078718,             0.00901,             0.00901,             0.00901
                   7,            0.037634,            0.015801,           0.0061829,             0.32196,            0.074935,            0.095288,            0.046141,            0.092478,            0.051221,            0.061934,            0.008812,            0.008812,            0.008812
                   8,            0.035572,            0.015235,           0.0056857,             0.36746,            0.047373,            0.057585,            0.028345,             0.08737,            0.053698,            0.073943,            0.008614,            0.008614,            0.008614
                   9,            0.034715,            0.014769,            0.005399,             0.36001,             0.12403,             0.14446,            0.071571,              0.0837,            0.055972,            0.059708,            0.008416,            0.008416,            0.008416
                  10,            0.033228,            0.014606,            0.004995,             0.26955,             0.12301,            0.094286,            0.041987,            0.086357,            0.053185,            0.055927,            0.008218,            0.008218,            0.008218
                  11,            0.032465,            0.014472,           0.0047871,             0.26952,             0.11111,             0.10395,             0.04811,            0.084334,            0.054418,            0.064194,             0.00802,             0.00802,             0.00802
                  12,            0.031617,            0.014166,           0.0045469,             0.10214,              0.2093,             0.10757,            0.049731,            0.082535,             0.06044,            0.071489,            0.007822,            0.007822,            0.007822
                  13,            0.030471,            0.013769,            0.004305,            0.082878,             0.22222,            0.091318,             0.04197,             0.08379,            0.052938,            0.076372,            0.007624,            0.007624,            0.007624
                  14,            0.030145,            0.013737,           0.0040691,             0.14924,             0.15245,             0.12015,            0.057778,            0.087954,            0.060562,            0.087526,            0.007426,            0.007426,            0.007426
                  15,            0.029314,             0.01339,           0.0039026,             0.10341,              0.1671,            0.095748,            0.044286,            0.089723,             0.05862,            0.079073,            0.007228,            0.007228,            0.007228
                  16,            0.028433,            0.013254,           0.0036232,            0.097838,              0.1559,            0.093239,            0.044147,            0.094114,            0.055246,            0.074826,             0.00703,             0.00703,             0.00703
